video_name,tag
v_PlayingCello_g08_c01.avi,PlayingCello
v_PlayingCello_g08_c02.avi,PlayingCello
v_PlayingCello_g08_c03.avi,PlayingCello
v_PlayingCello_g08_c04.avi,PlayingCello
v_PlayingCello_g08_c05.avi,PlayingCello
v_PlayingCello_g08_c06.avi,PlayingCello
v_PlayingCello_g09_c01.avi,PlayingCello
v_PlayingCello_g09_c02.avi,PlayingCello
v_PlayingCello_g09_c03.avi,PlayingCello
v_PlayingCello_g09_c04.avi,PlayingCello
v_PlayingCello_g09_c05.avi,PlayingCello
v_PlayingCello_g09_c06.avi,PlayingCello
v_PlayingCello_g09_c07.avi,PlayingCello
v_PlayingCello_g10_c01.avi,PlayingCello
v_PlayingCello_g10_c02.avi,PlayingCello
v_PlayingCello_g10_c03.avi,PlayingCello
v_PlayingCello_g10_c04.avi,PlayingCello
v_PlayingCello_g10_c05.avi,PlayingCello
v_PlayingCello_g10_c06.avi,PlayingCello
v_PlayingCello_g10_c07.avi,PlayingCello
v_PlayingCello_g11_c01.avi,PlayingCello
v_PlayingCello_g11_c02.avi,PlayingCello
v_PlayingCello_g11_c03.avi,PlayingCello
v_PlayingCello_g11_c04.avi,PlayingCello
v_PlayingCello_g11_c05.avi,PlayingCello
v_PlayingCello_g11_c06.avi,PlayingCello
v_PlayingCello_g11_c07.avi,PlayingCello
v_PlayingCello_g12_c01.avi,PlayingCello
v_PlayingCello_g12_c02.avi,PlayingCello
v_PlayingCello_g12_c03.avi,PlayingCello
v_PlayingCello_g12_c04.avi,PlayingCello
v_PlayingCello_g12_c05.avi,PlayingCello
v_PlayingCello_g12_c06.avi,PlayingCello
v_PlayingCello_g12_c07.avi,PlayingCello
v_PlayingCello_g13_c01.avi,PlayingCello
v_PlayingCello_g13_c02.avi,PlayingCello
v_PlayingCello_g13_c03.avi,PlayingCello
v_PlayingCello_g13_c04.avi,PlayingCello
v_PlayingCello_g13_c05.avi,PlayingCello
v_PlayingCello_g13_c06.avi,PlayingCello
v_PlayingCello_g13_c07.avi,PlayingCello
v_PlayingCello_g14_c01.avi,PlayingCello
v_PlayingCello_g14_c02.avi,PlayingCello
v_PlayingCello_g14_c03.avi,PlayingCello
v_PlayingCello_g14_c04.avi,PlayingCello
v_PlayingCello_g15_c01.avi,PlayingCello
v_PlayingCello_g15_c02.avi,PlayingCello
v_PlayingCello_g15_c03.avi,PlayingCello
v_PlayingCello_g15_c04.avi,PlayingCello
